outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
MHLTH,practice_cesi,Within state,0.0072020902522017165,0.010937072481142325,0.5102881102076213,2116,38,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,practice_cesi,Between states,-0.017300089850363257,0.07790469328397889,0.8254458678757506,2116,38,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,meaning_cesi,Within state,0.009548841392744863,0.012457099561371214,0.44347565056874527,1540,39,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,meaning_cesi,Between states,-0.07455916533544985,0.07734431717025518,0.3408778430033108,1540,39,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,practice_cesi,Within state,0.015217829243904336,0.010446306309395359,0.14533171032956932,2116,38,1,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,practice_cesi,Between states,0.009863674154530403,0.05642481499165262,0.8621737588188827,2116,38,1,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,meaning_cesi,Within state,-0.06695849543003306,0.011850647275457324,1.90923361682411e-8,1540,39,5.918624212154741e-7,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,meaning_cesi,Between states,-0.16289409206803945,0.05113566295562958,0.0028067745223379313,1540,39,0.09823710828182759,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,practice_cesi,Within state,-0.0051929012886918645,0.008054561978783367,0.5191826499771002,2116,38,1,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,practice_cesi,Between states,0.07779831659710304,0.07861374957852593,0.3285943216243923,2116,38,1,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,meaning_cesi,Within state,0.045956703930619146,0.00928132522158683,8.19124208065895e-7,1540,39,2.293547782584506e-5,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,meaning_cesi,Between states,0.040886405702366936,0.08557820043910903,0.6354484555434035,1540,39,1,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,practice_cesi,Within state,-0.023953864738693684,0.012360851091780412,0.05277288015498836,2116,38,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
